(BBG)",,,"Date
(HC)",,,,"Bloomberg
Ticker",Ticker,,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2025,,2024Y,2025Y,2026Y,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,2024Y,2025Y,2026Y,2024Y,2025Y,2026Y,Gold,Silver,Copper,Zinc,Lead,Nickel,Gold,Silver,Copper,Zinc,Lead,Nickel,Gold,Silver,Copper,Zinc,Lead,Nickel,Reserves,M&I,"M,I&I",Reserves,M&I,"M,I&I",FY2024,FY2025,FY2026,2021Y,2022Y,2023Y,2024Y,2025Y,2026Y,,,
SNL_EARNINGS_RELEASE_DATE,EXPECTED_REPORT_DT,EXPECTED_REPORT_TYP,SALES_RESULT_DATE,,,,,2026-02-20,,,,SP_PNAVPS_FWD,SP_PCFPS_FWD,,,SP_FCF_EST,SP_FCF_FWD,,SP_PE_FWD,,,IQ_NET_DEBT,SP_DEBT_TO_EQUITY,SNL_CONS_PRODUCTION_PROJECTION_HIGH_TONNE,,,,,,,,,,,,,,,,,,SNL_ATTRIBUTABLE_RESV_OZ,,,SNL_ATTRIBUTABLE_RESV_TONNES,,,SNL_ATTRIBUTABLE_M_AND_I_RESRC_OZ,,,SNL_ATTRIBUTABLE_M_AND_I_RESRC_TONNES,,,SNL_ATTRIBUTABLE_TOTAL_RESRC_OZ,,,SNL_ATTRIBUTABLE_TOTAL_RESRC_TONNES,,,,,,,,,SP_TEV_EBITDA_FWD,,,SNL_CASH_COST_LB,,,SNL_PROJ_CASH_COST_HIGH_LB,,,,,
,,,,,,,,,,,,,,,,,,,,,,FQ0,FH0,SNL_CONS_PRODUCTION_PROJECTION_LOW_TONNE,,,SP_GOLD_PRODUCTION_EST,,,SP_SILVER_PRODUCTION_EST,,,SP_COPPER_PRODUCTION_EST,,,,,,,,,MRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNL_PROJ_CASH_COST_LOW_LB,,,,,
,,,,,,,,,Chinese Producers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Zijin,,SEHK:2899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,N,NO
,,,,,,,,,China Moly,,SEHK:3993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,N,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.058139534883721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
